Year	Male_pop	Female_pop
2022	72921	69709
2023	73595	70551
2024	74306	71356
2025	74887	72148
2026	75449	72883
2027	75971	73532
2028	76459	74151
2029	76810	74735
2030	77158	75218
2031	77392	75666
2032	77635	76061
2033	77797	76488
2034	77913	76732
2035	78001	76955
2036	77995	77133
2037	77979	77280
2038	77919	77363
2039	77849	77486
2040	77715	77581
2041	77628	77618
2042	77499	77698
2043	77374	77750
2044	77330	77827
2045	77198	77890
2046	77213	77971
2047	77194	78125
2048	77131	78328
2049	77136	78409
2050	77045	78439
2051	77113	78540
2052	77046	78697
2053	76971	78804
2054	76839	78810
2055	76684	78850
2056	76581	78755
2057	76341	78599
2058	76044	78409
2059	75772	78196
2060	75515	77964
2061	75179	77716
2062	74841	77494
2063	74475	77189
2064	74100	76832
2065	73767	76505
2066	73390	76115
2067	73024	75692
2068	72635	75426
2069	72347	75105
2070	72006	74891
2071	71705	74705
2072	71458	74464
2073	71293	74319
2074	71043	74206
2075	70837	74079
2076	70644	73940
2077	70525	73829
2078	70350	73764
2079	70148	73608
2080	70020	73403
2081	69780	73262
2082	69621	73113
2083	69450	72887
2084	69293	72734
2085	69076	72508
2086	68817	72354
2087	68628	72273
2088	68426	72169
2089	68262	72052
2090	68085	71913
2091	67924	71836
2092	67694	71694
2093	67551	71561
2094	67421	71543
2095	67338	71519
2096	67266	71549
2097	67181	71527
2098	67166	71528
2099	67155	71583
2100	67142	71615
2101	67069	71682
2102	67054	71783
2103	67008	71864
2104	66962	71830
2105	66926	71801
2106	66932	71755
2107	66933	71756
2108	66889	71685
2109	66816	71652
2110	66672	71595
2111	66645	71588
2112	66513	71469
2113	66460	71430
2114	66382	71381
2115	66273	71317
2116	66228	71245
2117	66255	71226
2118	66199	71202
2119	66221	71171
2120	66212	71154
2121	66168	71091
2122	66169	71095
2123	66117	71070
2124	66113	71075
2125	66131	71043
2126	66210	71046
2127	66136	71080
2128	66209	71146
2129	66158	71179
2130	66178	71138
2131	66136	71133
2132	66159	71162
2133	66123	71085
2134	66099	71011
2135	66089	70958
2136	66063	70926
2137	65996	70890
2138	65958	70859
2139	65918	70783
2140	65862	70742
2141	65834	70739
2142	65750	70679
2143	65712	70632
2144	65656	70560
2145	65711	70489
2146	65636	70469
2147	65529	70480
2148	65535	70426
2149	65516	70382
