year,China,developing,world
1953,6.02,6.07,4.96
1954,6.02,6.07,4.96
1955,6.02,6.07,4.96
1956,6.02,6.07,4.96
1957,6.02,6.07,4.96
1958,5.4,6.15,4.89
1959,5.4,6.15,4.89
1960,5.4,6.15,4.89
1961,5.4,6.15,4.89
1962,5.4,6.15,4.89
1963,6.2,6.14,5.03
1964,6.2,6.14,5.03
1965,6.2,6.14,5.03
1966,6.2,6.14,5.03
1967,6.2,6.14,5.03
1968,6.25,5.98,4.92
1969,6.25,5.98,4.92
1970,6.25,5.98,4.92
1971,6.25,5.98,4.92
1972,6.25,5.98,4.92
1973,4.77,5.69,4.46
1974,4.77,5.69,4.46
1975,4.77,5.69,4.46
1976,4.77,5.69,4.46
1977,4.77,5.69,4.46
1978,3,5.28,3.87
1979,3,5.28,3.87
1980,3,5.28,3.87
1981,3,5.28,3.87
1982,2.614,4.92,3.6
1983,2.614,4.92,3.6
1984,2.614,4.92,3.6
1985,2.614,4.92,3.6
1986,2.614,4.92,3.6
1987,2.365,4.47,3.44
1988,2.365,4.47,3.44
1989,2.365,4.47,3.44
1990,2.295,4.47,3.44
1991,2.295,4.47,3.44
1992,2.295,4.47,3.44
1993,2.295,4.47,3.44
1994,1.602,4.01,3.02
1995,1.456,4.01,3.02
1996,1.546,3.63,2.75
1997,1.489,3.63,2.75
1998,1.488,3.63,2.75
1999,1.475,3.63,2.75
2000,1.218,3.63,2.75
2001,1.387,3.34,2.63
2002,1.383,3.34,2.63
2003,1.398,3.34,2.63
2004,1.444,3.34,2.63
2005,1.333,3.34,2.63
2006,1.379,3.14,2.57
2007,1.43,3.14,2.57
2008,1.468,3.14,2.57
2009,1.364,3.14,2.57
2010,1.181,3.14,2.57
2011,1.04,2.97,2.52
2012,1.257,2.97,2.52
2013,1.236,2.97,2.52
2014,1.278,2.97,2.52
2015,1.054,2.97,2.52
2016,1.25,2.84,2.47
2017,1.588,2.84,2.47
2018,1.495,,
2019,1.47,,
2020,1.3,,
